作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
ログアウト,2019-12-17 06:16:48,chinatsu09291s,教職員,31,,,nanamatsu2510043,,,,
ログイン,2019-12-17 06:19:02,chinatsu09291s,教職員,31,,,nanamatsu2510043,,,,
ログイン,2019-12-17 06:19:11,sinnosuke03562,一般,7,神奈川県,藤沢市,,,,,
ログアウト,2019-12-17 06:25:40,sinnosuke03562,生徒,7,神奈川県,藤沢市,,,,,
ログアウト,2019-12-17 06:25:41,chinatsu09291s,教職員,31,,,nanamatsu2510043,,,,
ログイン,2019-12-17 06:26:46,chinatsu09291s,教職員,31,,,nanamatsu2510043,,,,
ログイン,2019-12-17 06:27:15,sinnosuke03562,一般,7,神奈川県,藤沢市,,,,,
ログアウト,2019-12-17 06:32:09,sinnosuke03562,生徒,7,神奈川県,藤沢市,,,,,
ログイン,2019-12-17 06:34:16,sinnosuke03562,一般,7,神奈川県,藤沢市,,,,,
ログイン,2019-12-17 06:35:15,suzue01811,一般,7,神奈川県,藤沢市,,,,,
ログアウト,2019-12-17 06:36:46,sinnosuke03562,生徒,7,神奈川県,藤沢市,,,,,
ログアウト,2019-12-17 06:36:46,suzue01811,生徒,7,神奈川県,藤沢市,,,,,
ログアウト,2019-12-17 06:40:45,chinatsu09291s,教職員,31,,,nanamatsu2510043,,,,
ログイン,2019-12-17 06:41:19,chinatsu09291s,教職員,31,,,nanamatsu2510043,,,,
ログアウト,2019-12-17 06:44:28,chinatsu09291s,教職員,31,,,nanamatsu2510043,,,,
ログイン,2019-12-17 06:45:02,chinatsu09291s,教職員,31,,,nanamatsu2510043,,,,
ログイン,2019-12-17 06:49:49,suzue01811,生徒,7,神奈川県,藤沢市,nanamatsu2510043,,,,
ログイン,2019-12-17 06:51:26,sinnosuke03562,生徒,7,神奈川県,藤沢市,nanamatsu2510043,,,,
会費支払い,2019-12-17 06:57:18,suzue01811,生徒,7,神奈川県,藤沢市,nanamatsu2510043,[読書認定書  作成または期間延長,300,2020-01-16,
読書認定書,2019-12-17 06:57:18,suzue01811,生徒,7,神奈川県,藤沢市,nanamatsu2510043,143501,0,0000-00-00,
ログアウト,2019-12-17 07:16:21,suzue01811,生徒,7,神奈川県,藤沢市,,,,,
ログイン,2019-12-17 08:01:29,wwww02971,一般,29,dffff,cccc,,,,,
顔認証失敗,2019-12-17 08:07:11,wwww02971,一般,29,dffff,cccc,,,,,
ログイン,2019-12-17 11:40:56,suzue01811,一般,7,神奈川県,藤沢市,,,,,
ログアウト,2019-12-17 12:20:08,suzue01811,生徒,7,神奈川県,藤沢市,,,,,
,
,
作業/判定,タイムスタンプ,読Qネーム,年齢,読Q本ID,書籍名,著者,内容,対象 読Qﾈｰﾑ,いいね！した帯文
,
,
作業/判定,タイムスタンプ,読Qネーム,年齢,読Q本ID,書籍名,著者,クイズ?,獲得point,現在の生涯point,現在の級,内容
,
,
作業/判定,タイムスタンプ,読Qネーム,年齢,読Q本ID,書籍名,著者,クイズ?,対象 読Qﾈｰﾑ,内容
,
,
