読Ｑ本ＩＤ, タイトル, タイトルよみがな, 著者ペンネーム姓, 著者ペンネーム名, 著者よみがな姓, 著者よみがな名, 著者読Ｑネーム, 出版社, ＩＳＢＮ, 読Q認定日 ,読Ｑ本ポイント, 出題数, 時短最大秒数, 読Q推薦図書か, 書店URL, 紙or青空電子, 推奨年代, 係数, ジャンル１, ジャンル２, ジャンル３, ジャンル４, 行数, 1行字数, 本文頁数, 空白頁数, 3/4空白頁数, 1/2空白頁数, 1/4空白頁数, p30短行数, p50短行数, p70短行数, p90短行数, p110短行数, 総字数, 参考字数, 登録者読Ｑネーム, 監修者読Ｑネーム, 著者監修者読Qネーム, 保有クイズ数, 受検回数, 受検者実数, 合格者数, 帯文数, 良書と認めた人数, 前年度合格者数順位/全登録冊数
dq266,小さいおばけ,ちいさいおばけ,プロイスラー,オトフリート,プロイスラー,おとふりーと,,徳間書店,419861714,2022-09-18,2.57,8,120,,,字数カウントしていない本,小学校中学年,0.5,児童書,海外の文学,,,13,40,175,12,30,29,10,3,3,2,4,1,51376,,asako03331k,yukari05831k,,37,0,0,0,0,0,4/41,,
dq265,高瀬舟,たかせぶね,森,鴎外,もり,おうがい,,青空文庫,,2022-09-11,1.83,8,120,推薦図書,,字数カウント済の本,※古典,2,日本の文学,古典,,,0,0,0,0,0,0,0,0,0,0,0,0,8699,,kyoko03121k,yukari88001k,,38,1,1,0,0,0,4/41,,
dq264,名探偵ホームズ　赤毛組合,めいたんていほーむず　あかげくみあい,ドイル,コナン,どいる,こなん,,講談社,406285179,2022-09-11,7.93,12,180,,,字数カウントしていない本,小学校高学年,0.8,児童書,海外の文学,,,15,43,209,10,2,1,7,1,5,2,5,3,99070,,asako03331k,yukari05831k,,47,2,2,0,0,0,4/41,,
dq263,おばけのソッチ １年生のまき,おばけのそっち　いちねんせいのまき,角野,栄子,かどの,えいこ,,ポプラ社,459101099,2022-09-10,0.05,8,120,,,字数カウントしていない本,未就学～小学校低学年,0.1,児童書,,,,9,19,77,20,19,18,19,0,0,0,0,0,4959,,yukari05831k,yukari05831k,,26,5,5,1,0,0,4/41,,
dq262,ふしぎの国のアリス,ふしぎのくにのありす,キャロル,ルイス,きゃろる,るいす,,福音館書店,483400268,2022-09-04,4.33,10,150,,,字数カウントしていない本,小学校中学年,0.5,児童書,,,,16,43,180,13,10,11,15,2,2,3,3,3,86574,,yukiko06941k,MARI04381k,,0,0,0,0,0,0,4/41,,
dq261,クヌギ林のザワザワ荘,くぬぎばやしのざわざわそう,富安,陽子,とみやす,ようこ,,あかね書房,425106145,2022-09-02,5.33,10,150,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,日本の文学,,,15,38,203,16,8,16,13,2,3,3,4,4,76116,,asako03331k,yukari05831k,,39,0,0,0,0,0,4/41,,
dq260,ぼくんちの海賊トレジャ,ぼくんちのかいぞくとれじゃ,柏葉,幸子,かしわば,さちこ,,偕成社,403530750,2022-08-31,0.92,8,120,,,字数カウントしていない本,小学校中学年,0.5,児童書,日本の文学,,,11,32,123,16,9,19,33,5,4,3,4,4,18480,,mizuho00641k,yukari00161s,,0,0,0,0,0,0,4/41,,
dq259,それいけズッコケ三人組,それいけずっこけさんにんぐみ,那須,正幹,なす,まさもと,,ポプラ社,459100776,2022-08-23,3.86,10,150,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,単行本,日本の文学,,14,39,182,15,3,21,3,7,6,3,5,3,55076,,mizuho00641k,yukari00161s,,0,0,0,0,0,0,4/41,,
dq258,ゆりの木荘の子どもたち,ゆりのきそうのこどもたち,富安,陽子,とみやす,ようこ,,講談社,406518749,2022-08-21,1.06,8,120,,,字数カウントしていない本,小学校低学年～小学校中学年,0.4,児童書,日本の文学,,,13,38,124,30,1,8,48,3,3,5,4,5,26420,,asako03331k,yukari05831k,,33,0,0,0,0,0,4/41,,
dq257,山月記,さんげつき,中島,敦,なかじま,あつし,,青空文庫,,2022-08-26,1.22,8,120,推薦図書,,字数カウント済の本,※古典,2,日本の文学,名作,,,0,0,0,0,0,0,0,0,0,0,0,0,5790,,kyoko03121k,yukari05831k,,43,2,2,1,1,0,4/41,,
dq256,モミの木,もみのき,アンデルセン,ハンス・クリスチャン,アンデルセン,ハンス・クリスチャン,,青空文庫,,2022-08-26,0.47,8,120,,,字数カウント済の本,小学校低学年～小学校中学年,0.1,児童書,海外の文学,名作,,0,0,0,0,0,0,0,0,0,0,0,0,11202,,kyoko03121k,yukari05831k,,35,3,2,1,1,0,4/41,,
dq255,モチモチの木,もちもちのき,斉藤,隆介,さいとう,りゅうすけ,,岩崎書店,426590906,2022-08-15,0.27,8,120,,,字数カウントしていない本,小学校低学年～小学校中学年,0.4,絵本,,,,26,23,31,16,3,2,0,4,0,0,0,0,6810,,yukiko06941k,yukari05831k,,24,1,1,0,0,0,4/41,,
dq254,シノダ！指きりは魔法のはじまり,しのだ！ゆびきりはまほうのはじまり,富安,陽子,とみやす,ようこ,,偕成社,403644100,2022-08-11,6.46,10,150,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,日本の文学,,,15,40,263,13,6,37,3,6,5,5,6,2,92310,,asako03331k,yukari05831k,,50,0,0,0,0,0,4/41,,
dq253,おばあちゃんとひみつのともだち,おばあちゃんとひみつのともだち,ほりうち,しのぶ,ほりうち,しのぶ,,偕成社,403313640,2022-08-09,0.26,8,120,,,字数カウントしていない本,小学校低学年,0.2,児童書,日本の文学,,,14,31,70,11,8,17,12,4,3,3,7,2,13122,,mizuho00641k,yukari00161s,,0,0,0,0,0,0,4/41,,
dq252,きまぐれロボット,きまぐれろぼっと,星,新一,ほし,しんいち,,角川文庫,404130318,2022-09-18,3.03,10,150,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,文庫本,,,,16,38,201,50,40,13,3,16,4,4,1,5,43225,,yukiko06941k,yukari05831k,,36,0,0,0,0,0,4/41,,
dq251,シノダ！都ギツネの宝,しのだ！みやこぎつねのたから,富安,陽子,とみやす,ようこ,,偕成社,403644080,2022-08-04,9.2,12,180,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,日本の文学,,,15,40,323,24,6,49,3,5,0,1,4,4,131394,,asako03331k,yukari05831k,,49,1,1,0,0,0,4/41,,
dq250,シノダ！消えた白ギツネを追え,しのだ！きえたしろぎつねをおえ,富安,陽子,とみやす,ようこ,,偕成社,403644070,2022-08-03,7.05,12,180,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,日本の文学,,,15,40,263,24,7,25,2,2,4,4,5,3,100662,,asako03331k,yukari05831k,,50,0,0,0,0,0,4/41,,
dq249,なんでも魔女商会?コットンの夏休み,なんでもまじょしょうかい?こっとんのなつやすみ,あんびる,やすこ,あんびる,やすこ,,岩崎書店,426505461,2022-07-31,0.9,8,120,,,字数カウントしていない本,小学校低学年～小学校中学年,0.4,児童書,日本の文学,,,11,32,127,20,12,38,22,2,1,1,2,1,22579,,mizuho00641k,yukari00161s,,0,0,0,0,0,0,4/41,,
dq248,シノダ！キツネたちの宮へ,しのだ！きつねたちのみやへ,富安,陽子,とみやす,ようこ,,偕成社,403644060,2022-07-28,8.85,12,180,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,日本の文学,,,15,40,315,21,8,38,4,4,3,2,2,5,126496,,asako03331k,yukari05831k,,48,0,0,0,0,0,4/41,,
dq247,シノダ！時のかなたの人魚の島,しのだ！ときのかなたのにんぎょのしま,富安,陽子,とみやす,ようこ,,偕成社,403644050,2022-07-26,7.24,12,180,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,日本の文学,,,15,40,269,18,5,31,3,3,4,5,3,4,103488,,asako03331k,yukari05831k,,51,0,0,0,0,0,4/41,,
