作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
ログイン,2020-11-18 23:33:43,shota04572,一般,7,神奈川県,座間市,,,,,
ログイン,2020-11-18 23:33:43,shota04572,一般,7,神奈川県,座間市,,,,,
ログアウト,2020-11-18 23:36:21,shota04572,生徒,7,神奈川県,座間市,,,,,
ログイン,2020-11-19 00:03:36,shota04572,一般,7,神奈川県,座間市,,,,,
ログイン,2020-11-19 00:11:39,Kyoko07811,一般,9,神奈川県,藤沢市,,,,,
顔認証成功,2020-11-19 00:13:38,Tae01351,一般,35,神奈川県,藤沢市,,,,,
顔認証成功,2020-11-19 00:18:51,Tae01351,一般,35,神奈川県,藤沢市,,,,,
顔認証失敗,2020-11-19 00:20:01,Tae01351,一般,35,神奈川県,藤沢市,,,,,
顔認証失敗,2020-11-19 00:20:10,Tae01351,一般,35,神奈川県,藤沢市,,,,,
ログイン,2020-11-19 00:26:34,shotaro08502,一般,7,神奈川県,藤沢市,,,,,
顔認証成功,2020-11-19 00:29:05,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログアウト,2020-11-19 01:05:56,shota04572,生徒,7,神奈川県,座間市,,,,,
ログイン,2020-11-19 01:07:48,shotaro08502,一般,7,神奈川県,藤沢市,,,,,
ログアウト,2020-11-19 01:28:19,shotaro08502,生徒,7,神奈川県,藤沢市,,,,,
ログアウト,2020-11-19 01:28:44,Kyoko07811,生徒,9,神奈川県,藤沢市,,,,,
ログイン,2020-11-19 15:07:31,eiko01861s,教職員,44,神奈川県,藤沢市,nanamatsu2510043,,,,
ログアウト,2020-11-19 15:08:31,eiko01861s,教職員,44,神奈川県,藤沢市,nanamatsu2510043,,,,
ログイン,2020-11-19 15:08:55,chinatsu09291s,教職員,32,,,nanamatsu2510043,,,,
ログアウト,2020-11-19 15:09:23,chinatsu09291s,教職員,32,,,nanamatsu2510043,,,,
ログイン,2020-11-19 15:10:16,eiko01861s,教職員,44,神奈川県,藤沢市,nanamatsu2510043,,,,
ログアウト,2020-11-19 15:52:23,eiko01861s,教職員,44,神奈川県,藤沢市,nanamatsu2510043,,,,
ログイン,2020-11-19 15:52:40,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-11-19 16:12:58,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-11-19 16:14:11,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2020-11-19 16:20:08,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-11-19 16:34:21,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-11-19 17:11:59,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-11-25 20:18:16,miyo05121s,教職員,32,,,kuzuharalilysho2520822,,,,
ログアウト,2020-11-25 20:19:47,miyo05121s,教職員,32,,,kuzuharalilysho2520822,,,,
ログイン,2020-11-25 20:22:17,michiko06841s,教職員,48,,,nanamatsu2510043,,,,
ログアウト,2020-11-25 20:26:14,michiko06841s,教職員,48,,,nanamatsu2510043,,,,
ログイン,2020-11-25 20:27:54,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-11-25 20:28:51,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログアウト,2020-11-25 20:30:45,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-25 20:31:36,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2020-11-25 20:31:42,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-11-25 20:32:37,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
顔認証失敗,2020-11-25 20:38:15,shuhei07142,生徒,8,神奈川県,藤沢市,nishiashigarasho2500105,,,,
顔認証失敗,2020-11-25 20:38:18,shuhei07142,生徒,8,神奈川県,藤沢市,nishiashigarasho2500105,,,,
顔認証失敗,2020-11-25 20:38:28,shuhei07142,生徒,8,神奈川県,藤沢市,nishiashigarasho2500105,,,,
顔登録,2020-11-25 20:40:16,shuhei07142,生徒,8,神奈川県,藤沢市,nishiashigarasho2500105,,,,
ログイン,2020-11-25 20:40:16,shuhei07142,生徒,8,神奈川県,藤沢市,nishiashigarasho2500105,,,,
ログイン,2020-11-25 20:43:35,satomi01741,一般,8,鳥取県,境港市,,,,,
顔登録,2020-11-25 20:48:40,satomi01741,生徒,8,鳥取県,境港市,nishiashigarasho2500105,,,,
ログイン,2020-11-25 20:48:40,satomi01741,生徒,8,鳥取県,境港市,nishiashigarasho2500105,,,,
ログイン,2020-11-25 20:59:59,masami03431,一般,49,神奈川県,厚木市,,,,,
ログアウト,2020-11-25 21:01:02,masami03431,一般,49,神奈川県,厚木市,,,,,
ログアウト,2020-11-25 21:30:25,satomi01741,生徒,8,鳥取県,境港市,,,,,
ログアウト,2020-11-25 21:30:26,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-26 14:28:29,kie05931,一般,7,神奈川県,茅ヶ崎市,,,,,
退会ログアウト,2020-11-26 14:33:38,kie05931,生徒,7,神奈川県,茅ヶ崎市,kuzuharalilysho2520822,129人,,,
正会員へ復活,2020-11-26 14:38:51,kie05931,一般,7,神奈川県,茅ケ崎市,,,,,
正会員へ復活,2020-11-26 14:48:47,kie05931,一般,7,神奈川県,茅ケ崎市,,,,,
ログイン,2020-11-27 22:35:49,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
準会員へ,2020-11-27 22:46:23,ayumi04041s,教職員,42,神奈川県,藤沢市,nishiashigarasho2500105,団体で削除,,,
ログイン,2020-11-28 00:42:43,mamoru06182s,教職員,58,,,nanamatsu2510043,,,,
ログアウト,2020-11-28 00:53:52,mamoru06182s,教職員,58,,,nanamatsu2510043,,,,
ログイン,2020-11-28 00:55:06,mamoru06182s,教職員,58,,,nanamatsu2510043,,,,
ログアウト,2020-11-28 00:56:40,mamoru06182s,教職員,58,,,nanamatsu2510043,,,,
ログイン,2020-11-28 00:57:23,mamoru06182s,教職員,58,,,nanamatsu2510043,,,,
ログアウト,2020-11-28 01:17:34,mamoru06182s,教職員,58,,,nanamatsu2510043,,,,
ログイン,2020-11-28 01:20:36,mamoru06182s,教職員,58,,,nanamatsu2510043,,,,
ログイン,2020-11-28 01:25:10,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-11-28 01:40:25,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログアウト,2020-11-28 02:32:42,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2020-11-28 02:32:55,mamoru06182s,教職員,58,,,nanamatsu2510043,,,,
ログイン,2020-11-28 02:34:10,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2020-11-28 02:34:42,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 02:39:08,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログアウト,2020-11-28 02:42:11,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 02:42:21,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 03:54:40,satomi01741,一般,8,鳥取県,境港市,,,,,
ログアウト,2020-11-28 04:10:34,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 04:10:49,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログアウト,2020-11-28 04:14:00,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 04:14:16,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログアウト,2020-11-28 04:27:44,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 04:28:54,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログアウト,2020-11-28 04:34:30,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 04:34:42,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログアウト,2020-11-28 04:41:26,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 04:41:34,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログアウト,2020-11-28 04:43:03,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 04:45:39,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログアウト,2020-11-28 04:46:33,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 04:46:41,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログアウト,2020-11-28 04:48:30,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 04:53:54,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログアウト,2020-11-28 05:22:58,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 05:29:47,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2020-11-28 05:29:53,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2020-11-28 06:41:51,satomi01741,生徒,8,鳥取県,境港市,,,,,
ログアウト,2020-11-28 06:41:52,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 06:43:06,satomi01741,一般,8,鳥取県,境港市,,,,,
ログイン,2020-11-28 06:43:28,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログアウト,2020-11-28 07:14:03,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログアウト,2020-11-28 07:14:48,satomi01741,生徒,8,鳥取県,境港市,,,,,
ログイン,2020-11-28 07:15:06,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 07:24:29,satomi01741,一般,8,鳥取県,境港市,,,,,
ログアウト,2020-11-28 07:58:20,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-11-28 07:58:28,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2020-11-28 07:59:18,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-11-28 07:59:23,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2020-11-28 08:05:36,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 08:05:45,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 08:05:59,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2020-11-28 09:03:43,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-11-28 09:04:42,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-11-28 09:04:44,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-11-28 09:28:26,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-11-28 16:38:45,masami03431,一般,49,神奈川県,厚木市,,,,,
ログアウト,2020-11-28 16:39:36,masami03431,一般,49,神奈川県,厚木市,,,,,
ログイン,2020-11-28 16:39:43,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 17:44:24,mina09551k,監修者,35,鳥取県,境港市,,,,,
ログイン,2020-11-28 20:57:34,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 21:35:13,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログアウト,2020-11-28 21:35:19,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-28 21:35:33,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2020-11-28 21:42:15,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-11-28 21:43:04,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2020-11-28 21:46:32,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-11-28 21:47:06,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
顔登録,2020-11-28 22:02:30,shuhei07142,生徒,8,神奈川県,藤沢市,nishiashigarasho2500105,,,,
ログイン,2020-11-28 22:02:30,shuhei07142,生徒,8,神奈川県,藤沢市,nishiashigarasho2500105,,,,
ログイン,2020-11-29 19:25:29,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログイン,2020-11-29 19:25:40,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-11-29 19:26:55,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログアウト,2020-11-29 19:31:00,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-11-29 19:31:06,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-12-03 13:39:14,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-12-03 13:55:10,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-12-03 13:56:54,sinnosuke03562,一般,8,神奈川県,藤沢市,,,,,
ログイン,2020-12-03 14:17:59,suzue01811,一般,8,神奈川県,藤沢市,,,,,
顔認証成功,2020-12-03 15:23:56,Tae01351,一般,35,神奈川県,藤沢市,,,,,
顔認証失敗,2020-12-03 15:25:12,Tae01351,一般,35,神奈川県,藤沢市,,,,,
顔認証失敗,2020-12-03 15:25:18,Tae01351,一般,35,神奈川県,藤沢市,,,,,
顔認証失敗,2020-12-03 15:25:20,Tae01351,一般,35,神奈川県,藤沢市,,,,,
ログアウト,2020-12-03 15:28:28,suzue01811,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-12-03 15:29:28,maria05841,一般,7,神奈川県,南足柄市,,,,,
ログアウト,2020-12-03 15:36:24,maria05841,生徒,7,神奈川県,南足柄市,,,,,
ログイン,2020-12-03 15:36:53,ken06112,一般,8,鳥取県,境港市,,,,,
顔登録,2020-12-03 15:40:24,ken06112,生徒,8,鳥取県,境港市,yonosho6840043,,,,
ログイン,2020-12-03 15:40:24,ken06112,生徒,8,鳥取県,境港市,yonosho6840043,,,,
顔認証成功,2020-12-03 15:40:50,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログアウト,2020-12-03 17:08:40,sinnosuke03562,生徒,8,神奈川県,藤沢市,,,,,
顔認証成功,2020-12-03 17:30:29,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
顔認証失敗,2020-12-03 17:32:59,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
顔認証失敗,2020-12-03 17:33:25,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログアウト,2020-12-03 17:34:45,ken06112,生徒,8,鳥取県,境港市,,,,,
ログイン,2020-12-03 17:36:22,masami03431,一般,49,神奈川県,厚木市,,,,,
顔登録,2020-12-03 17:38:25,masami03431,一般,49,神奈川県,厚木市,,,,,
ログイン,2020-12-03 17:38:25,masami03431,一般,49,神奈川県,厚木市,,,,,
顔認証成功,2020-12-03 17:39:22,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
顔認証失敗,2020-12-03 17:40:20,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
ログアウト,2020-12-03 18:09:57,masami03431,一般,49,神奈川県,厚木市,,,,,
ログイン,2020-12-03 19:51:35,kenichi04032s,教職員,60,qqq,www,kuzuharalilysho2520822,,,,
ログアウト,2020-12-03 19:52:26,kenichi04032s,教職員,60,qqq,www,kuzuharalilysho2520822,,,,
ログイン,2020-12-04 00:15:55,michiko06841s,教職員,48,,,nanamatsu2510043,,,,
ログアウト,2020-12-04 00:16:49,michiko06841s,教職員,48,,,nanamatsu2510043,,,,
ログイン,2020-12-04 00:17:16,miyo05121s,教職員,32,,,kuzuharalilysho2520822,,,,
ログアウト,2020-12-04 00:18:54,miyo05121s,教職員,32,,,kuzuharalilysho2520822,,,,
ログイン,2020-12-04 00:19:42,masae01101s,教職員,29,,,yonosho6840043,,,,
ログアウト,2020-12-04 00:20:57,masae01101s,教職員,29,,,yonosho6840043,,,,
ログイン,2020-12-04 00:21:35,michiko06841s,教職員,48,,,nanamatsu2510043,,,,
ログアウト,2020-12-04 00:23:13,michiko06841s,教職員,48,,,nanamatsu2510043,,,,
正会員へ復活,2020-12-04 00:30:30,shoko06961s,教職員,40,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-12-04 00:31:04,shoko06961s,教職員,40,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2020-12-04 00:36:09,shoko06961s,教職員,40,神奈川県,小田原市,nishiashigarasho2500105,,,,
正会員へ復活,2020-12-04 01:06:25,minoru05962s,教職員,57,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログイン,2020-12-04 01:09:52,minoru05962s,教職員,57,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログアウト,2020-12-04 01:19:14,minoru05962s,教職員,57,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログイン,2020-12-04 01:19:41,rumi04581s,教職員,30,鳥取県,境港市,nishiashigarasho2500105,,,,
ログアウト,2020-12-04 01:23:47,rumi04581s,教職員,30,鳥取県,境港市,nishiashigarasho2500105,,,,
ログイン,2020-12-04 01:26:13,shoko06961s,教職員,40,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2020-12-04 01:27:06,shoko06961s,教職員,40,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-12-04 01:27:30,minoru05962s,教職員,57,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログイン,2020-12-04 01:29:07,maria05841,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
顔認証失敗,2020-12-04 01:29:52,maria05841,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
顔認証失敗,2020-12-04 01:30:07,maria05841,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
顔認証失敗,2020-12-04 01:30:44,maria05841,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログアウト,2020-12-04 01:30:55,maria05841,生徒,7,神奈川県,南足柄市,,,,,
ログアウト,2020-12-04 01:31:10,minoru05962s,教職員,57,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログイン,2020-12-04 01:32:47,satomi01741,一般,8,鳥取県,境港市,,,,,
ログイン,2020-12-04 01:33:23,rumi04581s,教職員,30,鳥取県,境港市,nishiashigarasho2500105,,,,
顔認証失敗,2020-12-04 01:34:57,satomi01741,生徒,8,鳥取県,境港市,nishiashigarasho2500105,,,,
顔認証失敗,2020-12-04 01:35:19,satomi01741,生徒,8,鳥取県,境港市,nishiashigarasho2500105,,,,
ログアウト,2020-12-04 01:38:59,satomi01741,生徒,8,鳥取県,境港市,,,,,
ログイン,2020-12-04 01:40:01,satomi01741,一般,8,鳥取県,境港市,,,,,
顔認証失敗,2020-12-04 01:41:09,satomi01741,生徒,8,鳥取県,境港市,nishiashigarasho2500105,,,,
ログアウト,2020-12-04 01:41:45,satomi01741,生徒,8,鳥取県,境港市,,,,,
ログイン,2020-12-04 01:42:23,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-12-04 01:44:17,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-12-04 01:45:22,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
顔認証失敗,2020-12-04 01:46:17,shuhei07142,生徒,8,神奈川県,藤沢市,nishiashigarasho2500105,,,,
顔認証失敗,2020-12-04 01:46:34,shuhei07142,生徒,8,神奈川県,藤沢市,nishiashigarasho2500105,,,,
ログイン,2020-12-04 01:48:04,satomi01741,一般,8,鳥取県,境港市,,,,,
顔認証失敗,2020-12-04 01:48:49,satomi01741,生徒,8,鳥取県,境港市,nishiashigarasho2500105,,,,
顔認証失敗,2020-12-04 01:49:58,satomi01741,生徒,8,鳥取県,境港市,nishiashigarasho2500105,,,,
ログアウト,2020-12-04 01:50:22,satomi01741,生徒,8,鳥取県,境港市,,,,,
ログイン,2020-12-04 01:51:14,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログアウト,2020-12-04 01:57:56,rumi04581s,教職員,30,鳥取県,境港市,nishiashigarasho2500105,,,,
ログイン,2020-12-04 01:58:25,eiko01861s,教職員,44,神奈川県,藤沢市,nanamatsu2510043,,,,
ログアウト,2020-12-04 02:54:14,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログアウト,2020-12-04 02:54:51,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-12-04 20:26:16,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-12-05 06:03:56,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログアウト,2020-12-05 06:05:59,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-12-05 06:06:13,masami03431,一般,49,神奈川県,厚木市,,,,,
ログアウト,2020-12-05 06:06:22,masami03431,一般,49,神奈川県,厚木市,,,,,
ログイン,2020-12-05 06:08:33,shotaro08502,一般,7,神奈川県,藤沢市,,,,,
ログアウト,2020-12-05 06:20:18,shotaro08502,生徒,7,神奈川県,藤沢市,,,,,
ログイン,2020-12-05 06:20:25,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-12-06 17:04:18,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-12-06 17:06:18,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-12-07 07:05:59,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-12-07 07:06:35,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-12-07 07:06:50,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-12-07 09:58:11,keiko03851k,監修者,52,青森県,黒石市,,,,,
顔登録,2020-12-07 10:05:19,keiko03851k,監修者,52,青森県,黒石市,,,,,
ログイン,2020-12-07 10:05:19,keiko03851k,監修者,52,青森県,黒石市,,,,,
基本情報更新,2020-12-07 10:05:44,keiko03851k,監修者,52,青森県,黒石市,,,,,
顔認証成功,2020-12-07 10:10:37,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログアウト,2020-12-07 10:12:40,keiko03851k,監修者,52,青森県,黒石市,,,,,
ログイン,2020-12-07 14:45:53,shota04572,一般,7,神奈川県,座間市,,,,,
ログアウト,2020-12-07 14:49:26,shota04572,生徒,7,神奈川県,座間市,,,,,
ログイン,2020-12-07 19:14:03,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-12-08 10:27:07,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-12-08 11:29:51,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-12-08 11:30:14,momoka01361c,著者,28,福岡県,大牟田市,,,,,
ログアウト,2020-12-08 11:35:59,momoka01361c,著者,28,福岡県,大牟田市,,,,,
ログイン,2020-12-08 12:44:35,satomi01741,一般,8,鳥取県,境港市,,,,,
顔認証失敗,2020-12-08 12:47:22,satomi01741,生徒,8,鳥取県,境港市,nishiashigarasho2500105,,,,
顔認証失敗,2020-12-08 12:47:57,satomi01741,生徒,8,鳥取県,境港市,nishiashigarasho2500105,,,,
ログアウト,2020-12-08 12:48:44,satomi01741,生徒,8,鳥取県,境港市,,,,,
ログイン,2020-12-08 12:50:20,Kyoko07811,一般,9,神奈川県,藤沢市,,,,,
ログイン,2020-12-08 12:53:01,shotaro08502,一般,7,神奈川県,藤沢市,,,,,
ログアウト,2020-12-08 12:56:35,shotaro08502,生徒,7,神奈川県,藤沢市,,,,,
ログアウト,2020-12-08 12:56:48,Kyoko07811,生徒,9,神奈川県,藤沢市,,,,,
ログイン,2020-12-08 12:57:24,shotaro08502,一般,7,神奈川県,藤沢市,,,,,
顔認証成功,2020-12-08 12:59:08,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
顔認証失敗,2020-12-08 13:00:46,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログアウト,2020-12-08 13:01:11,shotaro08502,生徒,7,神奈川県,藤沢市,,,,,
ログイン,2020-12-08 13:04:12,motoki02372k,監修者,38,神奈川県,横浜市戸塚区,,,,,
顔登録,2020-12-08 13:09:31,motoki02372k,監修者,38,神奈川県,横浜市戸塚区,,,,,
ログイン,2020-12-08 13:09:31,motoki02372k,監修者,38,神奈川県,横浜市戸塚区,,,,,
顔認証成功,2020-12-08 13:10:24,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログイン,2020-12-08 14:06:37,syoko07031,一般,17,神奈川県,横浜市旭区,,,,,
顔認証成功,2020-12-08 14:08:34,Tae01351,一般,35,神奈川県,藤沢市,,,,,
顔認証失敗,2020-12-08 14:13:38,syoko07031,一般,17,神奈川県,横浜市旭区,,,,,
顔認証成功,2020-12-08 14:14:39,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログイン,2020-12-08 14:55:32,tomoko04781,一般,17,神奈川県,藤沢市,,,,,
顔登録,2020-12-08 14:56:36,tomoko04781,一般,17,神奈川県,藤沢市,,,,,
ログイン,2020-12-08 14:56:36,tomoko04781,一般,17,神奈川県,藤沢市,,,,,
顔認証成功,2020-12-08 14:56:54,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログアウト,2020-12-08 16:01:43,tomoko04781,一般,17,神奈川県,藤沢市,,,,,
ログイン,2020-12-08 16:01:56,shoko06961s,教職員,40,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2020-12-08 16:03:06,shoko06961s,教職員,40,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-12-08 16:04:16,minoru05962s,教職員,57,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログアウト,2020-12-08 16:05:47,minoru05962s,教職員,57,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログイン,2020-12-08 16:53:58,kozue00911,一般,23,長野県,松本市,,,,,
ログイン,2020-12-09 08:39:29,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-12-09 08:42:25,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-12-10 15:34:44,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
顔認証成功,2020-12-10 15:36:37,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
顔認証成功,2020-12-10 15:37:18,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログアウト,2020-12-10 15:40:07,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-12-10 15:41:02,tomoko04781,一般,17,神奈川県,藤沢市,,,,,
ログアウト,2020-12-10 15:43:04,tomoko04781,一般,17,神奈川県,藤沢市,,,,,
ログイン,2020-12-10 15:43:16,mina09551k,監修者,35,鳥取県,境港市,,,,,
顔認証成功,2020-12-10 15:44:18,Tae01351,一般,35,神奈川県,藤沢市,,,,,
顔認証成功,2020-12-10 15:45:40,Tae01351,一般,35,神奈川県,藤沢市,,,,,
