作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
回答開始,2020-09-07 10:36:50,suzue01811,8,神奈川県,藤沢市,dq50,,,dq50-4,4,yukari05831k,,,,3.71,10,0,
誤答,2020-09-07 10:36:50,suzue01811,8,神奈川県,藤沢市,dq50,,,dq50-24,3,yukari05831k,9,,,3.71,10,0,
回答開始,2020-09-07 10:36:59,suzue01811,8,神奈川県,藤沢市,dq50,,,dq50-20,5,yukari05831k,,,,3.71,10,0,
正答,2020-09-07 10:36:59,suzue01811,8,神奈川県,藤沢市,dq50,,,dq50-4,4,yukari05831k,8,,,3.71,10,0,
回答開始,2020-09-07 10:37:07,suzue01811,8,神奈川県,藤沢市,dq50,,,dq50-26,6,yukari05831k,,,,3.71,10,0,
正答,2020-09-07 10:37:07,suzue01811,8,神奈川県,藤沢市,dq50,,,dq50-20,5,yukari05831k,7,,,3.71,10,0,
回答開始,2020-09-07 10:37:16,suzue01811,8,神奈川県,藤沢市,dq50,,,dq50-25,7,yukari05831k,,,,3.71,10,0,
正答,2020-09-07 10:37:16,suzue01811,8,神奈川県,藤沢市,dq50,,,dq50-26,6,yukari05831k,8,,,3.71,10,0,
正答,2020-09-07 10:37:23,suzue01811,8,神奈川県,藤沢市,dq50,,,dq50-25,7,yukari05831k,6,,,3.71,10,0,
合格,2020-09-07 10:37:25,suzue01811,8,神奈川県,藤沢市,dq50,,,,,keiko03851k,58,0.74,0.07,4.51,10,0.81,
回答開始,2020-09-08 17:20:35,taiyo06312,7,神奈川県,南足柄市,dq29,,,dq29-10,0,keiko03851k,,,,0,10,0,
回答開始,2020-09-08 17:20:45,taiyo06312,7,神奈川県,南足柄市,dq29,,,dq29-5,1,keiko03851k,,,,0,10,0,
回答開始,2020-09-08 17:20:55,taiyo06312,7,神奈川県,南足柄市,dq29,,,dq29-20,2,keiko03851k,,,,0,10,0,
正答,2020-09-08 17:20:55,taiyo06312,7,神奈川県,南足柄市,dq29,,,dq29-5,1,keiko03851k,9,,,0,10,0,
回答開始,2020-09-08 17:20:59,taiyo06312,7,神奈川県,南足柄市,dq29,,,dq29-26,3,keiko03851k,,,,0,10,0,
正答,2020-09-08 17:21:00,taiyo06312,7,神奈川県,南足柄市,dq29,,,dq29-20,2,keiko03851k,4,,,0,10,0,
回答開始,2020-09-08 17:21:08,taiyo06312,7,神奈川県,南足柄市,dq29,,,dq29-23,4,keiko03851k,,,,0,10,0,
正答,2020-09-08 17:21:08,taiyo06312,7,神奈川県,南足柄市,dq29,,,dq29-26,3,keiko03851k,8,,,0,10,0,
回答開始,2020-09-08 17:21:14,taiyo06312,7,神奈川県,南足柄市,dq29,,,dq29-21,5,keiko03851k,,,,0,10,0,
正答,2020-09-08 17:21:14,taiyo06312,7,神奈川県,南足柄市,dq29,,,dq29-23,4,keiko03851k,5,,,0,10,0,
回答開始,2020-09-08 17:21:22,taiyo06312,7,神奈川県,南足柄市,dq29,,,dq29-30,6,keiko03851k,,,,0,10,0,
正答,2020-09-08 17:21:22,taiyo06312,7,神奈川県,南足柄市,dq29,,,dq29-21,5,keiko03851k,6,,,0,10,0,
回答開始,2020-09-08 17:21:26,taiyo06312,7,神奈川県,南足柄市,dq29,,,dq29-30,7,keiko03851k,,,,0,10,0,
正答,2020-09-08 17:21:26,taiyo06312,7,神奈川県,南足柄市,dq29,,,dq29-30,6,keiko03851k,3,,,0,10,0,
合格,2020-09-08 17:21:41,taiyo06312,7,神奈川県,南足柄市,dq29,,,,,masayuki06802,44,0.64,0.06,0.7,10,0.7,
回答開始,2020-09-08 17:35:18,maria05841,7,神奈川県,南足柄市,dq50,,,dq50-22,1,yukari05831k,,,,0,10,0,
回答開始,2020-09-08 17:35:28,maria05841,7,神奈川県,南足柄市,dq50,,,dq50-10,2,yukari05831k,,,,0,10,0,
正答,2020-09-08 17:35:28,maria05841,7,神奈川県,南足柄市,dq50,,,dq50-22,1,yukari05831k,8,,,0,10,0,
回答開始,2020-09-08 17:35:35,maria05841,7,神奈川県,南足柄市,dq50,,,dq50-24,3,yukari05831k,,,,0,10,0,
正答,2020-09-08 17:35:35,maria05841,7,神奈川県,南足柄市,dq50,,,dq50-10,2,yukari05831k,5,,,0,10,0,
回答開始,2020-09-08 17:35:40,maria05841,7,神奈川県,南足柄市,dq50,,,dq50-4,4,yukari05831k,,,,0,10,0,
正答,2020-09-08 17:35:40,maria05841,7,神奈川県,南足柄市,dq50,,,dq50-24,3,yukari05831k,4,,,0,10,0,
回答開始,2020-09-08 17:35:45,maria05841,7,神奈川県,南足柄市,dq50,,,dq50-23,5,yukari05831k,,,,0,10,0,
